purchase_id,user_id,amount,purchase_date
1,99,4.89,2024-03-01 09:16:00
2,67,9.7,2024-03-02 14:04:00
3,72,5.02,2024-02-08 12:07:00
4,64,7.23,2024-01-22 09:38:00
5,50,7.26,2024-03-19 12:44:00
6,53,5.24,2024-01-18 19:37:00
7,10,7.36,2024-01-19 17:49:00
8,63,8.51,2024-02-24 23:02:00
9,60,8.71,2024-02-22 14:03:00
10,96,3.57,2024-01-10 21:20:00
11,49,8.05,2024-02-25 15:57:00
12,63,7.92,2024-02-11 10:40:00
13,1,3.14,2024-01-31 12:21:00
14,22,8.87,2024-03-15 07:07:00
15,32,2.89,2024-01-16 15:04:00
16,42,4.55,2024-02-28 04:19:00
17,52,5.54,2024-02-16 08:34:00
18,27,8.46,2024-02-02 12:56:00
19,26,7.71,2024-01-19 10:52:00
20,18,3.8,2024-02-03 03:08:00
21,49,8.55,2024-02-27 01:29:00
22,10,9.95,2024-03-02 17:39:00
23,3,4.58,2024-01-05 19:26:00
24,59,8.65,2024-03-28 00:01:00
25,77,8.74,2024-01-09 23:29:00
26,75,2.43,2024-01-04 06:13:00
27,39,7.99,2024-01-02 20:59:00
28,89,6.59,2024-02-12 21:57:00
29,47,4.09,2024-02-15 13:54:00
30,6,5.56,2024-02-10 10:52:00
31,40,2.48,2024-02-22 09:54:00
32,22,8.71,2024-02-03 16:39:00
33,86,5.69,2024-03-22 17:51:00
34,12,4.65,2024-02-27 12:14:00
35,77,3.6,2024-01-17 15:23:00
36,22,6.76,2024-03-27 12:34:00
37,26,8.97,2024-02-11 00:02:00
38,4,3.67,2024-02-15 11:21:00
39,11,2.76,2024-02-10 00:00:00
40,31,4.77,2024-01-31 17:27:00
41,65,9.04,2024-03-13 19:33:00
42,42,3.82,2024-02-25 19:00:00
43,79,8.38,2024-03-02 21:22:00
44,67,8.88,2024-03-09 02:36:00
45,47,2.24,2024-01-10 01:23:00
46,87,7.34,2024-03-03 19:16:00
47,14,9.53,2024-03-15 09:37:00
48,28,3.56,2024-01-23 16:21:00
49,76,8.94,2024-01-15 01:28:00
50,40,6.07,2024-01-07 05:53:00
51,11,7.72,2024-03-13 23:01:00
52,56,3.07,2024-03-15 15:49:00
53,74,8.97,2024-03-13 10:52:00
54,13,2.2,2024-01-07 04:58:00
55,53,4.41,2024-03-16 21:44:00
56,78,8.57,2024-02-04 10:09:00
57,58,9.4,2024-01-01 21:43:00
58,97,3.31,2024-01-04 07:51:00
59,100,5.41,2024-01-01 17:03:00
60,44,8.49,2024-01-26 20:48:00
61,92,3.85,2024-02-09 23:01:00
62,82,7.06,2024-01-03 16:39:00
63,32,4.0,2024-02-01 05:01:00
64,32,5.4,2024-01-12 20:41:00
65,14,4.97,2024-01-21 01:39:00
66,32,5.18,2024-01-07 10:34:00
67,39,8.48,2024-02-02 12:48:00
68,10,7.3,2024-02-01 07:21:00
69,56,6.3,2024-02-20 17:39:00
70,70,8.37,2024-02-05 15:19:00
71,20,9.51,2024-02-07 21:21:00
72,26,7.37,2024-03-13 23:51:00
73,72,7.76,2024-03-26 04:57:00
74,47,3.62,2024-02-25 22:27:00
75,97,3.82,2024-02-14 00:40:00
76,94,4.98,2024-03-24 12:08:00
77,33,6.71,2024-02-10 01:57:00
78,64,7.64,2024-01-23 20:09:00
79,52,4.39,2024-02-22 15:30:00
80,74,9.06,2024-03-25 13:53:00
81,49,7.71,2024-01-13 22:25:00
82,86,6.68,2024-01-11 05:25:00
83,2,5.03,2024-03-23 16:03:00
84,15,5.78,2024-02-22 14:46:00
85,73,7.79,2024-03-06 08:28:00
86,8,8.23,2024-03-10 23:23:00
87,46,7.94,2024-03-20 13:17:00
88,80,3.38,2024-03-03 16:23:00
89,48,8.01,2024-01-24 10:07:00
90,38,6.71,2024-02-24 14:28:00
91,95,2.62,2024-03-31 16:33:00
92,17,6.95,2024-01-25 17:03:00
93,50,5.8,2024-03-15 03:36:00
94,94,7.38,2024-01-17 02:05:00
95,23,7.24,2024-03-26 20:50:00
96,21,4.98,2024-01-08 02:31:00
97,34,7.4,2024-01-05 05:26:00
98,35,7.05,2024-03-05 05:58:00
99,100,6.67,2024-03-01 06:23:00
100,71,5.72,2024-01-14 02:39:00
101,79,4.76,2024-03-15 07:34:00
102,18,9.55,2024-02-04 17:38:00
103,60,3.46,2024-02-01 17:46:00
104,36,4.74,2024-03-04 10:48:00
105,9,4.54,2024-01-03 05:01:00
106,69,8.27,2024-01-18 02:39:00
107,85,9.09,2024-01-31 18:27:00
108,4,4.15,2024-01-03 18:25:00
109,81,7.67,2024-03-21 15:35:00
110,59,6.6,2024-03-23 16:37:00
111,57,3.0,2024-01-25 20:28:00
112,93,3.3,2024-01-31 01:45:00
113,44,8.84,2024-02-18 01:57:00
114,18,4.79,2024-03-07 08:37:00
115,78,3.85,2024-02-06 20:43:00
116,31,6.54,2024-02-04 00:39:00
117,34,5.85,2024-01-04 10:47:00
118,53,6.32,2024-01-04 03:42:00
119,51,9.13,2024-01-13 22:57:00
120,87,3.91,2024-01-01 09:49:00
121,82,8.44,2024-02-28 10:38:00
122,86,2.44,2024-03-11 12:08:00
123,65,8.51,2024-02-17 13:48:00
124,72,5.22,2024-02-06 02:31:00
125,52,6.88,2024-02-16 15:03:00
126,53,9.2,2024-02-22 17:37:00
127,47,9.75,2024-01-08 16:50:00
128,73,8.1,2024-02-12 00:50:00
129,37,2.23,2024-02-05 12:43:00
130,4,5.39,2024-02-03 13:10:00
131,32,8.9,2024-03-20 05:02:00
132,50,8.02,2024-01-15 23:07:00
133,10,3.83,2024-02-16 12:53:00
134,23,9.14,2024-03-02 19:04:00
135,76,7.05,2024-02-10 19:09:00
136,82,5.94,2024-02-13 12:51:00
137,18,4.45,2024-03-19 00:42:00
138,62,6.35,2024-01-15 12:18:00
139,91,8.79,2024-01-29 14:27:00
140,67,5.3,2024-01-13 06:53:00
141,100,6.42,2024-01-16 08:40:00
142,45,9.92,2024-02-02 09:59:00
143,38,7.96,2024-03-17 14:03:00
144,65,2.94,2024-03-02 15:38:00
145,64,8.84,2024-03-14 23:23:00
146,10,4.8,2024-03-21 00:24:00
147,40,4.0,2024-01-06 04:45:00
148,14,7.06,2024-01-12 02:56:00
149,8,2.3,2024-03-24 06:08:00
150,75,4.66,2024-02-21 21:27:00
151,66,7.16,2024-03-25 17:18:00
152,98,7.42,2024-01-18 11:35:00
153,30,6.8,2024-03-25 04:27:00
154,3,7.47,2024-02-16 08:35:00
155,72,5.76,2024-02-26 04:52:00
156,70,6.14,2024-03-12 16:04:00
157,32,5.56,2024-03-22 08:52:00
158,2,3.86,2024-02-17 19:12:00
159,55,5.02,2024-01-14 10:12:00
160,45,7.44,2024-02-03 20:25:00
161,6,4.27,2024-02-08 08:33:00
162,5,6.92,2024-03-25 05:46:00
163,90,5.86,2024-02-20 14:05:00
164,83,3.41,2024-02-07 04:33:00
165,79,5.55,2024-02-07 19:05:00
166,90,5.1,2024-03-22 00:01:00
167,7,8.64,2024-03-27 09:07:00
168,45,4.9,2024-01-10 16:08:00
169,56,7.93,2024-01-30 23:31:00
170,79,9.21,2024-03-22 08:47:00
171,5,5.53,2024-01-15 04:06:00
172,25,8.1,2024-03-01 04:04:00
173,46,2.28,2024-01-19 03:45:00
174,78,2.53,2024-01-20 20:37:00
175,48,3.58,2024-03-03 15:30:00
176,23,3.99,2024-03-02 12:58:00
177,71,5.22,2024-02-28 07:04:00
178,8,4.06,2024-03-13 18:14:00
179,42,8.74,2024-03-22 21:31:00
180,81,2.6,2024-03-18 00:46:00
181,84,7.11,2024-01-02 07:12:00
182,58,5.53,2024-01-13 18:45:00
183,42,6.56,2024-03-24 16:08:00
184,70,5.7,2024-03-08 00:51:00
185,37,6.52,2024-03-11 19:16:00
186,31,9.99,2024-01-27 01:45:00
187,56,6.17,2024-03-11 15:06:00
188,99,6.74,2024-01-28 18:49:00
189,64,5.64,2024-03-30 10:27:00
190,39,8.04,2024-02-02 21:50:00
191,37,6.59,2024-02-08 20:41:00
192,89,3.52,2024-01-12 06:23:00
193,10,2.52,2024-02-18 15:34:00
194,79,7.49,2024-01-12 01:30:00
195,29,8.77,2024-03-29 17:00:00
196,27,5.12,2024-01-24 12:33:00
197,26,5.14,2024-01-13 09:02:00
198,13,3.31,2024-03-03 07:22:00
199,86,6.25,2024-01-02 07:40:00
200,54,9.33,2024-03-17 18:18:00
201,82,7.48,2024-02-18 08:25:00
202,38,6.65,2024-01-02 13:18:00
203,42,7.42,2024-02-11 19:34:00
204,100,4.85,2024-01-19 19:40:00
205,29,6.61,2024-01-08 19:39:00
206,22,2.9,2024-02-21 05:30:00
207,1,4.85,2024-02-12 05:43:00
208,5,8.18,2024-01-28 01:04:00
209,34,5.68,2024-01-29 01:13:00
210,2,5.1,2024-01-16 08:08:00
211,13,6.43,2024-02-01 06:25:00
212,74,5.49,2024-02-02 03:51:00
213,8,6.38,2024-02-26 09:10:00
214,9,6.77,2024-02-13 23:55:00
215,46,8.5,2024-02-14 18:59:00
216,77,8.69,2024-02-19 05:52:00
217,41,7.41,2024-01-07 21:11:00
218,19,8.97,2024-01-25 09:16:00
219,27,6.72,2024-01-19 16:21:00
220,47,3.99,2024-02-12 12:30:00
221,9,2.26,2024-02-21 13:55:00
222,87,4.16,2024-03-01 07:43:00
223,14,6.7,2024-01-10 07:31:00
224,8,9.97,2024-03-26 00:12:00
225,8,7.74,2024-02-27 16:35:00
226,64,6.11,2024-02-25 03:55:00
227,13,4.7,2024-01-06 23:53:00
228,87,3.62,2024-03-22 04:39:00
229,61,5.39,2024-01-12 20:04:00
230,48,9.06,2024-03-21 14:24:00
231,82,6.07,2024-02-10 20:09:00
232,16,9.18,2024-03-18 01:34:00
233,69,3.34,2024-03-11 04:13:00
234,96,7.11,2024-01-09 05:05:00
235,10,6.3,2024-03-29 05:31:00
236,89,2.71,2024-02-09 07:29:00
237,4,4.39,2024-01-23 20:23:00
238,41,8.59,2024-01-24 20:39:00
239,96,7.78,2024-01-21 11:19:00
240,39,4.9,2024-02-28 06:28:00
241,10,3.37,2024-03-02 08:44:00
242,17,2.28,2024-03-25 07:15:00
243,100,7.16,2024-03-08 18:10:00
244,96,8.85,2024-02-12 00:31:00
245,1,2.02,2024-02-08 03:48:00
246,61,7.84,2024-02-18 02:22:00
247,3,9.94,2024-02-12 13:10:00
248,34,5.36,2024-03-15 19:04:00
249,77,6.95,2024-01-09 07:28:00
250,100,8.4,2024-03-08 22:36:00
251,37,2.67,2024-01-17 13:18:00
252,75,4.63,2024-01-11 09:09:00
253,81,5.89,2024-02-06 04:52:00
254,49,6.34,2024-02-29 02:01:00
255,34,5.49,2024-02-25 12:02:00
256,64,2.64,2024-01-15 09:27:00
257,48,3.37,2024-02-23 11:41:00
258,31,7.56,2024-01-29 01:59:00
259,89,7.19,2024-03-17 12:55:00
260,20,4.83,2024-01-16 15:20:00
261,44,3.18,2024-02-26 23:49:00
262,82,6.64,2024-02-19 00:31:00
263,100,6.42,2024-03-24 23:48:00
264,62,3.25,2024-01-29 23:42:00
265,4,3.01,2024-03-17 12:16:00
266,16,9.41,2024-03-30 06:25:00
267,41,2.07,2024-03-24 21:35:00
268,17,9.33,2024-02-29 03:55:00
269,15,4.74,2024-01-30 03:59:00
270,40,7.46,2024-02-03 15:57:00
271,84,4.46,2024-01-12 23:05:00
272,77,3.53,2024-02-09 15:26:00
273,91,7.66,2024-02-20 03:13:00
274,80,5.89,2024-01-26 02:55:00
275,50,7.16,2024-03-16 19:11:00
276,22,2.98,2024-02-13 05:44:00
277,92,2.58,2024-03-29 13:37:00
278,67,8.07,2024-01-17 04:35:00
279,34,5.87,2024-03-11 14:42:00
280,82,5.13,2024-02-03 00:01:00
281,50,5.72,2024-03-07 08:24:00
282,43,4.55,2024-02-02 10:52:00
283,38,5.92,2024-03-10 02:24:00
284,46,8.81,2024-03-06 09:22:00
285,48,6.55,2024-01-04 05:39:00
286,61,5.0,2024-01-18 06:23:00
287,87,8.54,2024-02-12 22:23:00
288,15,4.47,2024-03-31 23:37:00
289,89,5.63,2024-01-23 22:47:00
290,16,9.75,2024-02-17 18:33:00
291,73,9.89,2024-03-29 04:20:00
