session_id,user_id,session_start,session_end
1,68,2024-01-02 11:41:00,2024-01-21 06:25:00
2,53,2024-02-04 10:26:00,2024-01-21 00:54:00
3,30,2024-03-23 04:36:00,2024-03-14 08:41:00
4,71,2024-03-25 21:30:00,2024-01-19 14:01:00
5,41,2024-03-19 10:54:00,2024-01-22 10:00:00
6,91,2024-03-04 23:45:00,2024-01-16 06:20:00
7,52,2024-03-26 11:58:00,2024-02-06 23:21:00
8,85,2024-02-29 16:32:00,2024-01-27 05:52:00
9,35,2024-01-19 05:06:00,2024-03-16 10:00:00
10,27,2024-03-04 19:30:00,2024-02-25 11:33:00
11,62,2024-03-28 06:55:00,2024-03-09 00:10:00
12,68,2024-03-27 06:54:00,2024-02-18 05:38:00
13,55,2024-03-06 17:26:00,2024-03-23 10:48:00
14,60,2024-02-20 21:30:00,2024-03-12 16:48:00
15,88,2024-03-09 06:56:00,2024-03-11 13:36:00
16,85,2024-02-18 19:20:00,2024-02-02 22:01:00
17,35,2024-03-13 07:30:00,2024-02-01 09:50:00
18,86,2024-03-28 15:15:00,2024-03-17 01:25:00
19,48,2024-02-17 11:32:00,2024-02-12 14:31:00
20,67,2024-03-26 15:20:00,2024-01-08 10:26:00
21,26,2024-03-05 00:48:00,2024-01-13 10:05:00
22,92,2024-03-06 17:40:00,2024-03-04 10:46:00
23,98,2024-03-02 13:52:00,2024-03-26 00:25:00
24,54,2024-01-30 10:03:00,2024-03-20 05:32:00
25,12,2024-02-01 00:33:00,2024-03-04 12:00:00
26,78,2024-03-18 14:27:00,2024-03-11 02:37:00
27,90,2024-03-27 14:33:00,2024-01-21 00:41:00
28,89,2024-03-30 23:20:00,2024-01-04 02:19:00
29,60,2024-03-03 04:47:00,2024-01-13 12:30:00
30,22,2024-02-06 10:56:00,2024-03-23 16:27:00
31,91,2024-01-06 13:09:00,2024-03-23 04:40:00
32,66,2024-03-06 11:26:00,2024-03-11 04:08:00
33,58,2024-01-26 22:04:00,2024-02-25 21:09:00
34,47,2024-02-07 12:26:00,2024-01-15 18:18:00
35,50,2024-02-29 03:47:00,2024-01-22 09:57:00
36,7,2024-03-26 16:27:00,2024-01-20 05:43:00
37,76,2024-01-28 16:38:00,2024-02-10 13:14:00
38,70,2024-01-27 03:24:00,2024-03-29 15:12:00
39,69,2024-01-17 23:55:00,2024-02-19 04:05:00
40,34,2024-01-20 22:16:00,2024-02-11 02:12:00
41,57,2024-03-19 09:13:00,2024-01-27 13:21:00
42,3,2024-02-29 16:02:00,2024-03-16 15:00:00
43,65,2024-03-14 12:17:00,2024-01-21 23:48:00
44,18,2024-01-30 06:13:00,2024-02-06 22:42:00
45,65,2024-03-02 12:07:00,2024-03-14 14:35:00
46,26,2024-02-29 08:49:00,2024-01-05 19:10:00
47,63,2024-01-24 16:57:00,2024-03-01 09:12:00
48,92,2024-01-06 01:23:00,2024-03-09 14:54:00
49,3,2024-02-11 23:26:00,2024-03-03 08:19:00
50,95,2024-03-29 17:39:00,2024-01-25 09:31:00
51,45,2024-02-19 21:44:00,2024-01-25 00:26:00
52,13,2024-01-10 16:33:00,2024-02-23 11:17:00
53,2,2024-01-28 05:13:00,2024-02-06 10:33:00
54,69,2024-01-01 04:41:00,2024-03-02 08:50:00
55,95,2024-01-25 00:17:00,2024-03-28 11:15:00
56,69,2024-02-09 06:19:00,2024-01-26 03:58:00
57,5,2024-02-18 04:24:00,2024-02-15 00:39:00
58,4,2024-03-14 07:34:00,2024-01-07 16:21:00
59,99,2024-02-28 01:38:00,2024-03-19 14:16:00
60,44,2024-03-02 17:22:00,2024-02-29 22:03:00
61,36,2024-02-23 02:55:00,2024-01-10 21:05:00
62,77,2024-01-28 14:22:00,2024-01-05 01:46:00
63,26,2024-01-04 09:15:00,2024-03-13 06:08:00
64,40,2024-03-03 14:05:00,2024-03-31 16:54:00
65,68,2024-03-06 12:04:00,2024-01-05 19:27:00
66,6,2024-03-02 15:00:00,2024-03-24 00:57:00
67,71,2024-01-14 15:59:00,2024-01-22 13:05:00
68,25,2024-03-10 23:18:00,2024-01-05 19:59:00
69,89,2024-01-06 12:26:00,2024-01-27 01:05:00
70,6,2024-01-14 17:21:00,2024-01-10 23:19:00
71,90,2024-02-20 17:43:00,2024-02-02 12:51:00
72,3,2024-01-05 04:42:00,2024-03-28 20:00:00
73,14,2024-02-26 08:59:00,2024-03-12 12:47:00
74,9,2024-01-14 22:13:00,2024-03-20 21:53:00
75,86,2024-01-28 21:11:00,2024-02-20 11:15:00
76,77,2024-02-16 12:36:00,2024-02-19 03:06:00
77,83,2024-01-20 19:19:00,2024-03-30 21:52:00
78,95,2024-02-11 03:17:00,2024-02-29 23:59:00
79,23,2024-02-06 10:43:00,2024-03-10 19:50:00
80,32,2024-01-04 01:43:00,2024-03-08 03:01:00
81,96,2024-01-17 14:18:00,2024-03-31 12:15:00
82,48,2024-03-28 11:23:00,2024-03-20 04:53:00
83,88,2024-02-20 11:17:00,2024-02-14 15:44:00
84,43,2024-03-08 19:51:00,2024-03-29 21:52:00
85,26,2024-02-12 00:42:00,2024-03-22 05:10:00
86,20,2024-02-23 08:46:00,2024-03-15 23:46:00
87,25,2024-03-04 08:00:00,2024-01-29 16:16:00
88,64,2024-01-06 11:37:00,2024-01-02 03:51:00
89,99,2024-01-21 11:40:00,2024-03-23 14:26:00
90,44,2024-01-26 15:54:00,2024-02-28 12:54:00
91,73,2024-03-26 17:19:00,2024-01-25 13:46:00
92,45,2024-01-06 02:22:00,2024-03-30 23:21:00
93,70,2024-03-09 06:34:00,2024-01-31 10:32:00
94,87,2024-01-02 21:20:00,2024-01-05 14:09:00
95,31,2024-03-15 03:12:00,2024-02-09 09:57:00
96,43,2024-03-20 04:22:00,2024-01-10 07:33:00
97,97,2024-03-26 05:08:00,2024-03-20 00:24:00
98,32,2024-02-14 17:33:00,2024-03-14 06:37:00
99,14,2024-02-07 05:30:00,2024-03-10 16:10:00
100,97,2024-01-08 03:52:00,2024-02-10 08:15:00
101,64,2024-01-20 01:04:00,2024-01-21 14:06:00
102,22,2024-01-27 20:17:00,2024-03-23 17:57:00
103,29,2024-03-25 21:11:00,2024-03-13 10:45:00
104,54,2024-01-10 00:23:00,2024-03-01 17:35:00
105,73,2024-02-05 04:06:00,2024-01-01 02:38:00
106,66,2024-02-07 04:17:00,2024-03-30 08:20:00
107,82,2024-03-14 11:57:00,2024-03-30 02:21:00
108,48,2024-02-24 03:04:00,2024-03-10 20:47:00
109,77,2024-01-02 09:10:00,2024-03-24 19:50:00
110,93,2024-01-25 21:00:00,2024-01-03 07:24:00
111,85,2024-02-23 21:35:00,2024-03-03 23:09:00
112,25,2024-02-20 09:00:00,2024-02-06 00:54:00
113,78,2024-03-19 23:58:00,2024-01-13 12:18:00
114,9,2024-02-29 16:05:00,2024-03-28 16:29:00
115,23,2024-02-20 22:25:00,2024-01-05 17:28:00
116,65,2024-02-12 23:59:00,2024-01-11 20:17:00
117,28,2024-01-11 04:49:00,2024-02-11 05:27:00
118,47,2024-03-26 11:50:00,2024-02-01 23:40:00
119,21,2024-03-14 08:44:00,2024-03-21 07:45:00
120,70,2024-03-20 13:42:00,2024-01-13 14:43:00
121,5,2024-03-07 10:44:00,2024-02-19 16:36:00
122,17,2024-02-02 06:27:00,2024-03-06 17:31:00
123,58,2024-03-22 20:27:00,2024-01-19 23:52:00
124,8,2024-02-15 20:01:00,2024-01-01 07:07:00
125,24,2024-01-01 06:46:00,2024-02-09 13:47:00
126,99,2024-01-01 21:34:00,2024-01-09 06:25:00
127,13,2024-02-27 04:59:00,2024-01-10 12:40:00
128,26,2024-03-27 09:26:00,2024-03-01 15:52:00
129,8,2024-01-25 20:56:00,2024-02-25 08:16:00
130,18,2024-02-18 23:49:00,2024-01-30 23:15:00
131,66,2024-02-26 23:42:00,2024-01-06 03:21:00
132,28,2024-02-25 14:58:00,2024-01-10 16:31:00
133,75,2024-03-05 10:32:00,2024-01-31 20:36:00
134,17,2024-02-26 10:54:00,2024-01-06 20:13:00
135,85,2024-02-13 13:33:00,2024-01-25 23:45:00
136,38,2024-03-27 16:20:00,2024-01-24 16:31:00
137,100,2024-03-22 00:33:00,2024-01-17 00:39:00
138,37,2024-03-11 07:48:00,2024-02-04 22:53:00
139,88,2024-01-18 03:08:00,2024-01-12 08:58:00
140,35,2024-02-20 05:14:00,2024-01-19 09:26:00
