user_id,registration_date,country
1,2023-01-11,USA
2,2023-03-17,Germany
3,2023-06-06,Poland
4,2023-09-06,Poland
5,2023-05-12,USA
6,2023-12-06,UK
7,2023-05-07,USA
8,2023-04-08,UK
9,2023-10-20,UK
10,2023-01-18,France
11,2023-11-03,Germany
12,2023-01-28,UK
13,2023-12-25,Poland
14,2023-11-10,Poland
15,2023-12-27,Germany
16,2023-11-23,UK
17,2023-12-12,Poland
18,2023-02-01,Germany
19,2023-08-18,USA
20,2023-04-09,France
21,2023-11-08,USA
22,2023-04-04,Poland
23,2023-07-22,Poland
24,2023-02-03,Germany
25,2023-12-06,Germany
26,2023-08-23,France
27,2023-05-15,USA
28,2023-06-29,USA
29,2023-03-18,UK
30,2023-08-23,Germany
31,2023-04-24,USA
32,2023-02-18,Poland
33,2023-08-02,France
34,2023-07-21,France
35,2023-11-29,Germany
36,2023-11-23,UK
37,2023-10-27,Poland
38,2023-05-27,France
39,2023-05-17,UK
40,2023-10-28,Poland
41,2023-07-09,Poland
42,2023-01-02,Poland
43,2023-02-26,Germany
44,2023-07-06,USA
45,2023-11-28,Germany
46,2023-04-19,Germany
47,2023-06-27,Germany
48,2023-03-31,USA
49,2023-02-10,Germany
50,2023-01-03,Germany
51,2023-03-19,Germany
52,2023-06-01,USA
53,2023-11-07,Germany
54,2023-08-14,Germany
55,2023-02-21,USA
56,2023-05-13,USA
57,2023-06-04,UK
58,2023-08-25,Germany
59,2023-03-05,UK
60,2023-04-02,Poland
61,2023-01-03,Germany
62,2023-04-09,USA
63,2023-09-20,USA
64,2023-10-16,Germany
65,2023-02-22,UK
66,2023-03-09,UK
67,2023-09-15,UK
68,2023-01-23,France
69,2023-08-05,Germany
70,2023-07-28,USA
71,2023-10-23,USA
72,2023-06-13,UK
73,2023-05-01,Poland
74,2023-10-23,USA
75,2023-05-30,Poland
76,2023-09-11,USA
77,2023-11-17,UK
78,2023-08-27,Germany
79,2023-09-11,Germany
80,2023-07-23,Poland
81,2023-05-01,Poland
82,2023-04-08,Germany
83,2023-07-20,Poland
84,2023-05-11,Germany
85,2023-05-04,UK
86,2023-11-10,USA
87,2023-12-25,France
88,2023-11-09,Poland
89,2023-06-22,Poland
90,2023-06-06,UK
91,2023-08-16,UK
92,2023-04-06,France
93,2023-10-26,Germany
94,2023-11-17,USA
95,2023-10-14,France
96,2023-03-02,UK
97,2023-12-24,USA
98,2023-07-01,Poland
99,2023-01-14,USA
100,2023-11-23,UK
